alcool;drogue;preuve;nivetud;regle;durprison;age_an;origine;raison;job;durliberte
2;2;0;8;0;5;21;W;3;N;0
2;2;0;8;0;4;27;W;3;N;0
2;2;8;10;5;45;29;B;1;Y;0
2;2;0;8;0;17;21;W;3;Y;0
2;2;0;9;0;4;22;B;3;N;0
2;2;0;12;2;37;36;B;3;Y;0
1;2;1;11;2;11;25;W;3;N;0
2;2;1;11;1;22;25;B;2;N;0
2;1;0;9;0;7;44;W;3;Y;0
2;2;1;10;0;8;78;B;3;N;0
2;2;0;10;1;17;22;W;3;Y;0
2;2;0;11;1;19;23;W;1;Y;0
2;1;3;7;2;21;27;B;3;N;0
2;2;0;9;3;20;20;W;3;Y;0
2;2;1;11;0;43;31;B;1;Y;0
2;2;0;12;0;3;25;W;3;Y;0
2;1;1;9;8;48;35;W;3;N;0
2;1;0;10;1;8;21;W;3;N;0
2;2;0;10;0;9;20;B;3;Y;0
2;2;0;9;0;2;17;W;3;N;0
2;2;0;11;1;36;23;B;3;N;0
2;2;0;10;0;2;17;W;1;N;0
2;1;0;13;0;5;24;W;3;N;0
2;2;0;11;0;6;28;W;3;Y;0
2;2;0;12;0;4;46;W;3;N;0
2;2;0;10;0;12;21;B;3;N;0
2;2;0;10;1;14;24;W;3;Y;0
2;2;0;12;0;5;25;W;3;Y;0
2;2;1;12;0;12;27;B;1;N;0
2;2;0;7;2;22;31;W;1;N;0
2;2;2;6;2;48;28;B;3;Y;0
2;2;0;11;0;19;24;B;3;N;0
2;2;0;11;0;13;21;W;1;N;0
2;2;1;11;0;4;35;B;3;Y;0
2;2;0;4;0;7;31;B;3;N;0
2;2;0;10;0;6;19;W;3;N;0
1;2;0;11;0;9;44;B;3;N;0
2;1;0;9;8;26;21;W;1;N;0
2;1;2;8;0;5;27;B;3;N;0
2;2;1;9;0;32;49;W;1;N;0
2;2;0;14;0;4;24;W;3;N;0
2;1;0;16;1;11;44;B;1;Y;0
2;2;1;10;1;16;24;B;1;Y;0
1;2;2;12;0;5;33;B;3;Y;0
2;1;2;7;0;12;38;B;3;N;0
2;1;0;12;0;5;23;W;3;N;0
2;2;4;8;1;29;43;B;3;N;0
2;2;5;10;5;125;38;B;3;N;0
2;2;0;9;0;5;20;W;3;N;0
2;2;5;10;0;6;38;B;3;N;0
1;2;0;4;0;3;40;W;3;N;0
1;2;0;3;0;4;49;B;3;Y;0
2;1;0;9;0;10;25;B;3;N;0
2;2;0;11;0;12;51;B;3;N;0
1;2;0;10;0;6;20;W;3;N;0
2;2;0;11;0;18;25;W;1;Y;0
2;1;0;12;0;13;23;W;3;Y;0
2;2;0;10;0;10;28;W;1;N;0
2;2;0;12;0;7;28;B;3;N;0
2;2;0;12;1;4;19;B;3;N;0
2;1;3;9;0;42;42;W;1;Y;0
1;2;1;2;0;5;34;B;3;Y;0
2;2;1;12;1;14;21;W;3;N;0
2;2;0;11;0;7;23;W;3;Y;0
2;2;0;12;2;9;22;W;3;Y;0
2;2;3;7;0;5;22;W;3;N;0
2;2;1;7;0;7;24;W;3;Y;0
2;2;5;10;0;12;61;W;3;N;0
2;2;0;14;0;15;22;W;3;N;0
1;2;1;12;0;5;42;B;3;N;0
2;2;0;8;0;4;22;W;3;N;0
2;1;0;11;0;16;22;W;3;Y;0
2;2;1;12;0;13;32;W;3;N;0
2;2;0;11;2;26;28;B;3;N;0
2;1;0;10;1;28;23;W;1;N;0
1;2;5;12;0;4;41;W;3;N;0
2;1;2;12;1;13;23;W;3;Y;0
2;1;0;12;0;6;22;B;3;N;0
2;2;1;10;1;32;27;B;3;N;0
2;2;0;10;0;3;17;W;3;N;0
2;1;0;9;0;13;34;B;2;Y;0
2;2;1;12;0;31;22;W;1;N;0
2;2;0;11;0;13;28;B;3;N;0
1;1;7;10;2;42;35;W;3;N;0
2;2;3;9;10;39;30;W;1;Y;0
1;2;0;9;0;3;37;W;3;N;0
2;2;3;11;0;20;56;B;1;Y;0
2;2;0;12;0;6;27;W;3;N;0
2;2;7;7;3;24;30;W;1;N;0
2;2;0;10;2;6;27;W;3;N;0
2;2;0;7;0;23;20;W;1;N;0
1;2;1;11;1;8;39;B;3;Y;0
2;2;0;14;0;13;25;W;3;Y;0
2;2;2;15;10;21;28;B;1;N;0
2;2;0;10;0;9;23;W;1;N;0
2;1;0;9;1;19;20;W;1;N;0
2;1;0;10;0;12;32;W;1;N;0
2;2;0;10;0;6;31;W;3;Y;0
1;2;0;10;0;8;26;B;3;N;0
2;2;0;10;0;2;19;W;3;N;0
1;2;26;3;0;6;59;B;3;N;0
2;2;1;10;1;6;25;B;3;N;0
2;2;0;10;3;12;22;W;3;N;0
2;1;0;10;1;7;20;W;3;N;0
2;2;0;17;0;19;55;W;3;N;0
1;2;1;8;0;8;24;W;3;Y;0
2;2;0;12;0;7;30;W;1;Y;0
1;2;0;12;0;6;31;W;3;N;0
2;2;2;9;0;2;24;B;3;N;0
1;2;1;8;1;7;47;B;3;N;0
2;2;0;8;0;10;20;W;3;Y;0
1;1;0;15;0;5;27;W;3;N;0
2;2;0;12;2;8;30;B;3;N;0
2;2;0;12;0;7;22;W;3;N;0
2;2;6;12;12;83;50;W;3;Y;0
2;1;0;9;0;11;35;W;3;Y;0
1;2;0;10;1;6;20;B;3;N;0
1;2;0;4;0;7;48;W;3;Y;0
2;2;0;8;0;18;20;W;1;N;0
2;2;2;12;1;23;27;W;3;Y;0
1;2;17;4;0;4;55;W;3;N;0
1;1;0;13;1;6;20;W;3;N;0
2;2;0;8;0;1;24;W;3;N;0
2;2;0;10;0;12;21;W;3;N;0
2;2;0;14;0;8;34;W;3;Y;0
2;2;0;12;0;11;28;W;1;Y;0
2;2;0;10;0;5;19;B;3;N;0
2;2;0;12;0;6;29;B;3;N;0
2;2;2;12;0;9;29;B;1;Y;0
2;2;4;10;13;36;32;B;3;N;0
1;2;0;9;0;10;39;W;3;Y;0
2;2;1;12;2;17;22;B;1;Y;0
2;2;3;11;6;13;21;B;3;Y;0
2;2;0;12;0;16;21;W;1;Y;0
2;2;2;10;3;42;22;B;1;Y;0
2;1;0;5;1;11;53;W;3;N;0
2;2;0;11;1;12;22;B;3;Y;0
1;2;5;4;0;5;49;W;3;N;0
2;1;0;9;0;7;30;W;3;Y;0
2;1;0;5;0;14;42;B;3;N;0
2;1;0;12;0;6;22;W;3;Y;0
2;2;2;6;1;6;41;W;3;Y;0
2;2;0;10;1;6;31;W;3;Y;0
2;2;6;9;0;12;27;W;3;Y;0
2;1;0;12;1;11;25;B;3;N;0
2;2;0;14;0;11;26;B;3;Y;0
2;2;3;2;0;5;54;B;3;Y;0
1;2;0;12;0;6;39;W;3;N;0
2;2;0;12;0;24;24;B;2;Y;0
2;2;1;12;0;10;21;B;1;N;0
2;2;0;16;0;12;25;W;3;N;0
2;2;0;11;0;22;27;B;3;Y;0
2;1;0;9;2;15;28;W;3;Y;0
2;2;1;5;1;37;50;W;3;N;0
2;2;1;10;0;5;26;B;1;Y;0
2;2;0;11;0;2;19;W;3;N;0
2;2;2;12;2;16;35;W;3;Y;0
2;1;3;6;0;6;62;W;3;Y;0
2;2;0;13;2;12;25;B;3;N;0
2;1;0;12;0;5;22;W;3;N;0
2;1;2;2;0;13;43;B;3;N;0
2;2;0;8;0;7;18;W;3;N;0
1;2;0;12;0;2;45;B;3;N;0
2;2;0;12;0;8;26;B;3;N;0
2;1;0;7;2;10;20;W;3;N;0
2;2;0;11;2;20;22;B;1;N;0
2;1;5;12;0;38;33;B;2;Y;0
2;1;0;10;0;7;21;B;3;N;0
2;2;6;14;1;27;39;W;1;Y;0
2;2;0;10;0;7;21;B;3;N;0
2;2;0;11;0;23;27;B;3;Y;0
1;2;0;12;0;5;19;B;3;N;0
2;2;0;8;0;28;41;B;2;Y;0
2;2;0;12;0;8;36;B;3;N;0
2;2;0;5;0;5;26;B;3;N;0
2;2;0;9;0;9;22;W;1;Y;0
2;2;0;12;3;21;28;B;3;N;0
2;2;0;9;0;7;17;B;3;N;0
1;2;7;6;0;2;44;W;3;Y;0
2;2;0;10;0;24;27;B;3;Y;0
2;2;0;11;0;13;47;B;3;Y;0
2;2;0;6;0;30;37;B;3;Y;0
2;2;0;10;0;2;17;W;3;N;0
2;2;0;11;0;5;20;B;3;N;0
1;1;0;9;0;5;19;W;3;N;0
2;1;0;10;2;21;22;W;1;Y;0
2;2;0;7;0;5;21;W;3;N;0
2;2;0;8;0;15;29;W;3;Y;0
1;1;1;11;0;16;21;W;3;Y;0
2;2;0;10;0;4;21;B;3;N;0
2;2;0;8;1;13;21;W;1;Y;0
2;2;0;2;0;40;53;W;3;Y;0
2;1;0;9;2;17;20;W;3;N;0
2;1;1;8;1;15;20;W;3;N;0
2;2;1;12;0;25;29;B;2;Y;0
1;2;2;12;0;7;43;B;3;Y;0
2;2;1;10;2;70;25;W;3;Y;0
2;1;0;12;1;11;25;B;3;N;0
1;1;0;12;0;8;33;W;3;N;0
2;2;0;12;0;12;29;B;1;N;0
2;2;0;11;3;36;22;B;3;Y;0
2;2;0;12;0;9;31;W;3;Y;0
2;2;0;8;2;13;21;W;3;N;0
